Event	ID	Name			Wwise Object Path	Notes
	68608246	KatarinaAutoSFX			\Default Work Unit\KatarinaAutoSFX	
	307566243	KatarinaRSFX			\Default Work Unit\KatarinaRSFX	
	316800428	KatarinaVoracitySFX			\Default Work Unit\KatarinaVoracitySFX	
	1339083702	KatarinaDeath			\Default Work Unit\KatarinaDeath	
	1486502846	KatarinaESFX			\Default Work Unit\KatarinaESFX	
	1565165559	KatarinaImpactSFX			\Default Work Unit\KatarinaImpactSFX	
	2478388218	KatarinaQSFX			\Default Work Unit\KatarinaQSFX	
	3881038749	KatarinaMenu			\Default Work Unit\KatarinaMenu	
	4077583183	KatarinaRVO			\Default Work Unit\KatarinaRVO	
	4110991296	KatarinaQVO			\Default Work Unit\KatarinaQVO	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	379174388	katarina_base_vo_audio_6	C:\Users\Johnrey\Documents\WwiseProjects\Katarina\.cache\Windows\SFX\VO\katarina_base_vo_audio_6_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\VO Mixer\VO\KatarinaQVO\katarina_base_vo_audio_6		3044
	494502273	katarina_base_vo_audio_3	C:\Users\Johnrey\Documents\WwiseProjects\Katarina\.cache\Windows\SFX\VO\katarina_base_vo_audio_3_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\VO Mixer\VO\KatarinaMenu\katarina_base_vo_audio_3		19310
	516349677	katarina_base_vo_audio_12	C:\Users\Johnrey\Documents\WwiseProjects\Katarina\.cache\Windows\SFX\VO\katarina_base_vo_audio_12_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\VO Mixer\VO\KatarinaDeath\katarina_base_vo_audio_12		6601
	707292829	_016	C:\Users\Johnrey\Documents\WwiseProjects\Katarina\.cache\Windows\SFX\SFX\.016_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\SFX\KatarinaAutoSFX\_016		5346
	772909795	_043	C:\Users\Johnrey\Documents\WwiseProjects\Katarina\.cache\Windows\SFX\SFX\.043_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\SFX\KatarinaVoracitySFX\_043		11751
	811255497	_012	C:\Users\Johnrey\Documents\WwiseProjects\Katarina\.cache\Windows\SFX\SFX\.012_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\SFX\KatarinaImpactSFX\_012		8518
	886705908	_014	C:\Users\Johnrey\Documents\WwiseProjects\Katarina\.cache\Windows\SFX\SFX\.014_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\SFX\KatarinaRSFX\_014		53416
	892545547	ultimate	C:\Users\Johnrey\Documents\WwiseProjects\Katarina\.cache\Windows\SFX\ultimate_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\VO Mixer\VO\KatarinaRVO\ultimate		32822
	906816577	_029	C:\Users\Johnrey\Documents\WwiseProjects\Katarina\.cache\Windows\SFX\SFX\.029_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\SFX\KatarinaESFX\_029		15062
	953300316	katarina_base_vo_audio_5	C:\Users\Johnrey\Documents\WwiseProjects\Katarina\.cache\Windows\SFX\VO\katarina_base_vo_audio_5_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\VO Mixer\VO\KatarinaQVO\katarina_base_vo_audio_5		3916
	1073272869	_059	C:\Users\Johnrey\Documents\WwiseProjects\Katarina\.cache\Windows\SFX\SFX\.059_3F75BDB9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\SFX\KatarinaQSFX\_059		8885

